Street Name,Zip Code
Jenkins Road,04072
Jordan Street,04072
Joy Valley Road,04072
Joyce Street,04072
Juniper Lane,04072
Kelly Lane,04072
Kimberly Drive,04072
King Avenue,04072
King Street,04072
King Street Exd,04072
Knoll Drive,04072
Knotty Pine Drive,04072
Labonte Avenue E,04072
Labonte Avenue W,04072
Lafayette Street,04072
Laliberie Circle,04072
Landing Road,04072
Laurel Avenue,04072
Lawn Avenue,04072
Lebanon Road,04072
Ledgewood Terrace,04072
Lehner Road,04072
Lewis Avenue,04072
Lewis Lane,04072
Lighthouse Lane,04072
Lillian Avenue,04072
Lina Avenue,04072
Lincoln Road,04072
Lincoln Street,04072
Locke Street,04072
Lord Road,04072
Louden Road,04072
Louise Street,04072
Lower Beach,04072
Lower Beach Road,04072
Lucille Street,04072
Lund Industrial Road,04072
Lund Road,04072
Lyman Avenue,04072
Mabel Avenue,04072
Main Avenue,04072
Main Street,04072
Manor Way,04072
Maple Drive,04072
Maple Street,04072
Margaret Circle,04072
Marguerite Road,04072
Market Street,04072
Marshwood Circle,04072
Mary Avenue,04072
Mast Hill Road,04072
May Street,04072
McKenney Road,04072
McKinnons Way,04072
Meadow Avenue,04072
Meadow Lane,04072
Mechanic Street,04072
Meserve Circle,04072
Michele Way,04072
Michelle Way,04072
Middle Street,04072
Mill Lane,04072
Milliken Mills Road,04072
Miranda Circle,04072
Moody Street,04072
Morgan Circle,04072
Morris Avenue,04072
Mulberry,04072
Mulberry Street,04072
Narragansett Trail,04072
Nelson Right of Way,04072
New County Road,04072
Norman Avenue,04072
Norman Street,04072
North Avenue,04072
North Street,04072
Northwood Lane,04072
Nott Street,04072
Nottingham Drive,04072
Nye Street,04072
Oak Street,04072
Oakland Street,04072
Oakwood Drive,04072
Ocean Greens Drive,04072
Ocean Park E,04072
Ocean Park Road,04072
Ocean View Circle,04072
Oceanside Drive,04072
Oceanside Road,04072
Old Buxton Road,04072
Old Orchard Road,04072
Olive Street,04072
Osprey Avenue,04072
Outlook Avenue,04072
Palmer Avenue,04072
Park Avenue,04072
Park Road,04072
Park Street,04072
Parker Circle,04072
Patriot Drive,04072
Paul Avenue,04072
Paul Street,04072
Peabody Lane,04072
Peacock Road,04072
Pearl Avenue,04072
Pearl Street,04072
Pease Road,04072
Pepperell Street,04072
Pheasant Road,04072
Pilgrim Lane,04072
Pine Country Drive,04072
Pine Haven Street,04072
Pine Ledge Terrace,04072
Pine Ridge Road,04072
Pine Street,04072
Pine Tree Avenue,04072
Piney Woods Road,04072
Pineywood Road,04072
Pinkham Drive,04072
Pleasant Street,04072
Pleasant View Drive,04072
Plymouth Drive,04072
Pond Avenue,04072
Pond Street,04072
Pool Street,04072
Portland Road,04072
Primrose Lane,04072
Prior Circle,04072
Promenade Street,04072
Prospect Street,04072
Ranwall Avenue,04072
Richards Way,04072
Richard's Way,04072
Ricker Road,04072
River Lane,04072
Rivers Edge Lane,04072
Riverside Avenue,04072
Robert Street,04072
Robin Street,04072
Rocky Hill Road,04072
Roebuck Avenue,04072
Rosewood Drive,04072
Ross Road,04072
Rotary Drive,04072
Rumery Street,04072
Ryan Road,04072
Saltaire Avenue,04072
Sand Piper Lane,04072
Sandpiper Lane,04072
Savage Road,04072
Sawyer Street,04072
Scammon Exd,04072
Scammon Street,04072
School Street,04072
Scrimshaw Lane,04072
Seafields Lane,04072
Sean Plc,04072
Seaside Avenue,04072
Seavey Drive,04072
Shadagee Road,04072
Shannon Lane,04072
Sheila Circle,04072
Shepard Avenue,04072
Shirmel Circle,04072
Shore Avenue,04072
Simpson Road,04072
Skyline Drive,04072
Smith Lane,04072
Smutty Lane,04072
Sofia Road,04072
Sokokis Circle,04072
South Street,04072
Spring Hill Road,04072
Spring Road,04072
Spring Street,04072
Spruce Street,04072
Stables Lane,04072
Stacy Street,04072
State Route 112,04072
State Route 117,04072
State Route 4,04072
State Route 5,04072
State Route 9,04072
State Route 98,04072
Steeple Drive,04072
Stockman Avenue,04072
Stone Pony Circle,04072
Stone Street,04072
Stonewall Lane,04072
Storer Street,04072
Strawberry Lane,04072
Stuart Street,04072
Sullivan Lane,04072
Summer Street,04072
Sunrise Avenue,04072
Sunset Avenue,04072
Sunwood Drive,04072
Surf Street,04072
Sweet Street,04072
Sylvain Avenue,04072
Tall Pines Drive,04072
Tall Pines Lane,04072
Tapley Road,04072
Tasker Lane,04072
Tasker Street,04072
Temple Street,04072
Therrien Avenue,04072
Thornton Avenue,04072
Thunder Road,04072
Tiffany Lane,04072
Timber Oaks Lane,04072
Town Farm Road,04072
Townsend Road,04072
Truman Avenue,04072
Union Falls Road,04072
Union Street,04072
Ura Street,04072
US Highway 1,04072
US Highway 202,04072
Vernon Street,04072
Victor Avenue,04072
Village Green Drive,04072
Vines Road,04072
Virginia Avenue,04072
Vivian Street,04072
Wakefield Avenue,04072
Washington Avenue,04072
Water Street,04072
Watson Mill Road,04072
Waycott Way,04072
Wedgewood Drive,04072
Wendy Way,04072
West Avenue,04072
Weston Train Avenue,04072
Westward Lane,04072
Weymouth Avenue,04072
Weymouth Street,04072
Wharf Street,04072
Whitten Drive,04072
Wild Briar Drive,04072
Wildberry Lane,04072
Wildwood Drive,04072
Willow Avenue,04072
Willow Haven Street,04072
Willow Street,04072
Wilson Lane,04072
Windemere Lane,04072
Winding Brook Lane,04072
Windy Point Lane,04072
Winter Street,04072
Winter Street Exd,04072
Wood Avenue,04072
Woodcock Avenue,04072
Woodland Avenue,04072
Woodman Avenue,04072
Woodside Avenue,04072
Wren Road,04072
Zachary Lane,04072
